message;severity;node;stamp;location
"About to call ConeMapping::add_keyframe for frame 50";"20";"cone_slam";"1753022829.507672621";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:210"
"Received cone detection with 14 cones";"20";"cone_slam";"1753022829.358546620";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:160"
"Added keyframe 49 with 16 cone observations";"20";"cone_slam";"1753022829.209981748";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:239"
"ConeMapping::add_keyframe returned";"20";"cone_slam";"1753022829.209949440";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:213"
"About to call ConeMapping::add_keyframe for frame 49";"20";"cone_slam";"1753022829.208545671";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:210"
"Publishing transforms (call #1100)";"20";"dummy_publisher";"1753022829.013260186";"/home/user1/ROS2_Workspace/ros2_ws/install/cone_stellation/lib/cone_stellation/dummy_publisher_node.py:publish_transforms:556"
"Added keyframe 48 with 14 cone observations";"20";"cone_slam";"1753022828.909340787";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:239"
"ConeMapping::add_keyframe returned";"20";"cone_slam";"1753022828.909310362";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:213"
"About to call ConeMapping::add_keyframe for frame 48";"20";"cone_slam";"1753022828.908203498";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:210"
"Added keyframe 47 with 16 cone observations";"20";"cone_slam";"1753022828.709847845";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:239"
"ConeMapping::add_keyframe returned";"20";"cone_slam";"1753022828.709810487";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:213"
"About to call ConeMapping::add_keyframe for frame 47";"20";"cone_slam";"1753022828.708543826";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:210"
"Added keyframe 46 with 15 cone observations";"20";"cone_slam";"1753022828.459936500";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:239"
"ConeMapping::add_keyframe returned";"20";"cone_slam";"1753022828.459913899";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:213"
"About to call ConeMapping::add_keyframe for frame 46";"20";"cone_slam";"1753022828.459041919";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:210"
"Received cone detection with 14 cones";"20";"cone_slam";"1753022828.307049814";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:160"
"Added keyframe 45 with 14 cone observations";"20";"cone_slam";"1753022828.209272390";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:239"
"ConeMapping::add_keyframe returned";"20";"cone_slam";"1753022828.209242375";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:213"
"About to call ConeMapping::add_keyframe for frame 45";"20";"cone_slam";"1753022828.208194107";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:210"
"Publishing 43 landmarks";"20";"cone_slam";"1753022828.156942874";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:visualization_callback:462"
"Added keyframe 44 with 17 cone observations";"20";"cone_slam";"1753022828.009890738";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:239"
"ConeMapping::add_keyframe returned";"20";"cone_slam";"1753022828.009860644";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:213"
"About to call ConeMapping::add_keyframe for frame 44";"20";"cone_slam";"1753022828.008875639";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:210"
